X,Y,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Meninggal,Month,Year,Month_Year,PROX_ATTRACTION,PROX_KINDERGARTENS,PROX_SCHOOL,PROX_TERMINAL,PROX_HEALTHCARE
-3610392.30130617,698457.236121289,25446,3172041001,CILINCING,317204,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,55102,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,2513,54,Aug,2021,Aug_2021,0.791928745880582,2.9119806188634,1.97192454550262,37.7361121881323,37.7361121881323
-3632135.92815614,691251.182735168,25471,3173021007,WIJAYA KUSUMA,317302,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,48348,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,2841,48,Aug,2021,Aug_2021,0.989263114537442,0.114191718179167,2.2246857329386,15.8537971510034,15.8537971510034
-3613661.40933822,699342.463636949,25449,3172041004,KALIBARU,317204,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALIBARU,86964,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,1709,47,Aug,2021,Aug_2021,2.62370773726224,1.63972900577773,2.41473314346942,34.632462894511,34.632462894511
-3608662.36069622,694208.374397813,25451,3172041006,ROROTAN,317204,DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,50167,DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,2354,39,Aug,2021,Aug_2021,4.95929300133537,4.31400369766969,3.50030840891746,39.1569778634428,39.1569778634428
-3612974.26065135,696374.583358736,25452,3172041007,SEMPER BARAT,317204,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,86583,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,4282,82,Aug,2021,Aug_2021,2.76275931495653,1.4286088608592,1.10261964118954,34.9505974940374,34.9505974940374
-3622872.27799835,693768.530617738,25453,3172051001,PADEMANGAN TIMUR,317205,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,45083,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,5768,57,Aug,2021,Aug_2021,1.51365811781581,0.792047844770555,1.71335749945362,24.9429116868638,24.9429116868638
-3624323.99035664,694417.570465512,25454,3172051002,PADEMANGAN BARAT,317205,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,93530,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,4809,77,Aug,2021,Aug_2021,1.13495711241408,0.252535861596666,0.905714578286093,23.5048270767085,23.5048270767085
-3624818.70495604,695764.330800849,25455,3172051003,ANCOL,317205,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,29886,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,1856,27,Aug,2021,Aug_2021,0.162693437255658,1.41439714885698,1.46824315974155,23.0974614506249,23.0974614506249
-3615277.46603988,690636.11244186,25456,3172061001,KELAPA GADING TIMUR,317206,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,40012,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,4040,62,Aug,2021,Aug_2021,6.88684253131916,0.778629315475334,1.12587970247646,32.6719595901652,32.6719595901652
-3639046.06813889,692984.113831655,25459,3173011001,CENGKARENG BARAT,317301,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,80638,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,5533,99,Aug,2021,Aug_2021,2.71800216303541,0.476272100382003,1.26708542759582,8.79022616535114,8.79022616535114
