"ID_KEL","Nama_provinsi","nama_kota","nama_kecamatan","nama_kelurahan","POSITIF","Meninggal","Month","Year","Month_Year"
"3173071004","DKI JAKARTA","JAKARTA BARAT","PALMERAH","JATI PULO",26,1,"May","2020","May_2020"
"3171061002","DKI JAKARTA","JAKARTA PUSAT","MENTENG","PEGANGSAAN",22,1,"May","2020","May_2020"
"3173021002","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN UTARA",11,1,"May","2020","May_2020"
"3173021006","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR BARU",12,2,"May","2020","May_2020"
"3175041001","DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","KRAMAT JATI",11,2,"May","2020","May_2020"
"3173011005","DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KAPUK",25,6,"May","2020","May_2020"
"3173021007","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","WIJAYA KUSUMA",18,2,"May","2020","May_2020"
"3174091003","DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","CIGANJUR",9,1,"May","2020","May_2020"
"3171051003","DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","RAWASARI",11,1,"May","2020","May_2020"
"3173021005","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN SELATAN",22,3,"May","2020","May_2020"
"3175031002","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","BIDARA CINA",31,5,"May","2020","May_2020"
"3174021002","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET SEMANGGI",3,2,"May","2020","May_2020"
"3173081006","DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","KEMBANGAN SELATAN",22,0,"May","2020","May_2020"
"3173081005","DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","JOGLO",22,0,"May","2020","May_2020"
"3175061004","DKI JAKARTA","JAKARTA TIMUR","CAKUNG","CAKUNG TIMUR",12,0,"May","2020","May_2020"
"3173081002","DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA UTARA",19,0,"May","2020","May_2020"
"3174051004","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","GROGOL UTARA",26,0,"May","2020","May_2020"
"3174081001","DKI JAKARTA","JAKARTA SELATAN","PANCORAN","PANCORAN",14,2,"May","2020","May_2020"
"3174041001","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PASAR MINGGU",10,2,"May","2020","May_2020"
"3175081002","DKI JAKARTA","JAKARTA TIMUR","MAKASAR","PINANG RANTI",14,2,"May","2020","May_2020"
"3174051003","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","CIPULIR",17,1,"May","2020","May_2020"
"3171071001","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","GELORA",5,1,"May","2020","May_2020"
"3175081005","DKI JAKARTA","JAKARTA TIMUR","MAKASAR","CIPINANG MELAYU",16,3,"May","2020","May_2020"
"3175061005","DKI JAKARTA","JAKARTA TIMUR","CAKUNG","PULO GEBANG",29,2,"May","2020","May_2020"
"3174081004","DKI JAKARTA","JAKARTA SELATAN","PANCORAN","DUREN TIGA",7,0,"May","2020","May_2020"
"3174041007","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","KEBAGUSAN",16,0,"May","2020","May_2020"
"3174041002","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","JATI PADANG",13,2,"May","2020","May_2020"
"3174041003","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","CILANDAK TIMUR",11,2,"May","2020","May_2020"
"3175021003","DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","CIPINANG",19,2,"May","2020","May_2020"
"3171021001","DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU",23,0,"May","2020","May_2020"
"3171011003","DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO UTARA",18,2,"May","2020","May_2020"
"3175031003","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","BALI MESTER",9,1,"May","2020","May_2020"
"3171061004","DKI JAKARTA","JAKARTA PUSAT","MENTENG","GONDANGDIA",12,2,"May","2020","May_2020"
"3175051005","DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","PEKAYON",5,1,"May","2020","May_2020"
"3171021004","DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA",18,5,"May","2020","May_2020"
"3172041002","DKI JAKARTA","JAKARTA UTARA","CILINCING","SUKAPURA",18,1,"May","2020","May_2020"
"3174021004","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET",14,0,"May","2020","May_2020"
"3171011002","DKI JAKARTA","JAKARTA PUSAT","GAMBIR","CIDENG",16,2,"May","2020","May_2020"
"3171041006","DKI JAKARTA","JAKARTA PUSAT","SENEN","BUNGUR",12,0,"May","2020","May_2020"
"3174011004","DKI JAKARTA","JAKARTA SELATAN","TEBET","KEBON BARU",23,0,"May","2020","May_2020"
"3173071002","DKI JAKARTA","JAKARTA BARAT","PALMERAH","SLIPI",18,1,"May","2020","May_2020"
"3174091004","DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","LENTENG AGUNG",18,0,"May","2020","May_2020"
"3173071005","DKI JAKARTA","JAKARTA BARAT","PALMERAH","KEMANGGISAN",21,2,"May","2020","May_2020"
"3175101002","DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","CILANGKAP",15,0,"May","2020","May_2020"
"3171011005","DKI JAKARTA","JAKARTA PUSAT","GAMBIR","KEBON KELAPA",7,1,"May","2020","May_2020"
"3171041003","DKI JAKARTA","JAKARTA PUSAT","SENEN","PASEBAN",27,1,"May","2020","May_2020"
"3175081003","DKI JAKARTA","JAKARTA TIMUR","MAKASAR","KEBON PALA",7,0,"May","2020","May_2020"
"3171031005","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","GUNUNG SAHARI SELATAN",8,0,"May","2020","May_2020"
"3171071005","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON MELATI",69,4,"May","2020","May_2020"
"3171041002","DKI JAKARTA","JAKARTA PUSAT","SENEN","KENARI",8,0,"May","2020","May_2020"
"3172051003","DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","ANCOL",24,0,"May","2020","May_2020"
"3173081003","DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA SELATAN",14,2,"May","2020","May_2020"
"3172021005","DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","KEBON BAWANG",25,0,"May","2020","May_2020"
"3174081002","DKI JAKARTA","JAKARTA SELATAN","PANCORAN","KALIBATA",19,0,"May","2020","May_2020"
"3173011001","DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG BARAT",31,0,"May","2020","May_2020"
"3174021005","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","MENTENG ATAS",14,2,"May","2020","May_2020"
"3174091006","DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","CIPEDAK",8,0,"May","2020","May_2020"
"3171081004","DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","TANAH TINGGI",19,3,"May","2020","May_2020"
"3175091002","DKI JAKARTA","JAKARTA TIMUR","CIRACAS","CIBUBUR",14,2,"May","2020","May_2020"
"3173061004","DKI JAKARTA","JAKARTA BARAT","KALI DERES","KAMAL",4,1,"May","2020","May_2020"
"3175021001","DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","PULO GADUNG",19,2,"May","2020","May_2020"
"3171031008","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","UTAN PANJANG",10,0,"May","2020","May_2020"
"3174031004","DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","TEGAL PARANG",17,1,"May","2020","May_2020"
"3175101006","DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","BAMBU APUS",11,0,"May","2020","May_2020"
"3175041005","DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","BALE KAMBANG",15,1,"May","2020","May_2020"
"3174071008","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","PETOGOGAN",4,0,"May","2020","May_2020"
"3172041006","DKI JAKARTA","JAKARTA UTARA","CILINCING","ROROTAN",4,1,"May","2020","May_2020"
"3173021001","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","GROGOL",24,0,"May","2020","May_2020"
"3174071002","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","GUNUNG",9,1,"May","2020","May_2020"
"3173041006","DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN BESI",37,1,"May","2020","May_2020"
"3172041004","DKI JAKARTA","JAKARTA UTARA","CILINCING","KALI BARU",15,4,"May","2020","May_2020"
"3173011004","DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KEDAUNG KALI ANGKE",13,0,"May","2020","May_2020"
"3174071003","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","KRAMAT PELA",3,0,"May","2020","May_2020"
"3174071001","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","MELAWAI",5,0,"May","2020","May_2020"
"3175101004","DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","MUNJUL",7,0,"May","2020","May_2020"
"3174081003","DKI JAKARTA","JAKARTA SELATAN","PANCORAN","RAWA JATI",6,0,"May","2020","May_2020"
"3172031005","DKI JAKARTA","JAKARTA UTARA","KOJA","TUGU SELATAN",12,0,"May","2020","May_2020"
"3175071005","DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","MALAKA SARI",14,1,"May","2020","May_2020"
"3171031007","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","SUMUR BATU",12,0,"May","2020","May_2020"
"3173051002","DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","SUKABUMI UTARA",18,2,"May","2020","May_2020"
"3175041002","DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","KAMPUNG TENGAH",50,6,"May","2020","May_2020"
"3174041004","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","RAGUNAN",6,2,"May","2020","May_2020"
"3175101005","DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","SETU",4,0,"May","2020","May_2020"
"3174021007","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","GUNTUR",4,0,"May","2020","May_2020"
"3175101003","DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","PONDOK RANGGON",7,1,"May","2020","May_2020"
"3174071007","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","PULO",5,0,"May","2020","May_2020"
"3175051002","DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","BARU",3,0,"May","2020","May_2020"
"3172011002","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","KAMAL MUARA",13,1,"May","2020","May_2020"
"3174091002","DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","SRENGSENG SAWAH",20,3,"May","2020","May_2020"
"3175011005","DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","KEBON MANGGIS",6,1,"May","2020","May_2020"
