X,Y,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Meninggal,Month,Year,Month_Year
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,16,2,May,"2020",May_2020
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,31,3,Jun,"2020",Jun_2020
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,72,5,Jul,"2020",Jul_2020
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,129,6,Aug,"2020",Aug_2020
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,185,8,Sep,"2020",Sep_2020
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,269,9,Oct,"2020",Oct_2020
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,318,9,Nov,"2020",Nov_2020
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,397,11,Dec,"2020",Dec_2020
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,595,13,Jan,"2021",Jan_2021
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,809,14,Feb,"2021",Feb_2021
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,892,14,Mar,"2021",Mar_2021
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,938,15,Apr,"2021",Apr_2021
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,987,17,May,"2021",May_2021
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,1274,22,Jun,"2021",Jun_2021
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,1899,34,Jul,"2021",Jul_2021
-3621508.54617087,689924.954624286,25397,"3171031003",HARAPAN MULIA,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,1939,40,Aug,"2021",Aug_2021
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,0,0,Mar,"2020",Mar_2020
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,13,5,Apr,"2020",Apr_2020
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,30,6,May,"2020",May_2020
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,51,7,Jun,"2020",Jun_2020
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,96,7,Jul,"2020",Jul_2020
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,185,9,Aug,"2020",Aug_2020
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,267,12,Sep,"2020",Sep_2020
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,433,17,Oct,"2020",Oct_2020
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,538,18,Nov,"2020",Nov_2020
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,674,19,Dec,"2020",Dec_2020
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,1027,20,Jan,"2021",Jan_2021
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,1344,24,Feb,"2021",Feb_2021
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,1469,29,Mar,"2021",Mar_2021
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,1558,29,Apr,"2021",Apr_2021
