"OBJECT_ID","KODE_DESA","DESA","KODE","PROVINSI","KAB_KOTA","KECAMATAN","DESA_KELUR","JUMLAH_PEN","Nama_provinsi","nama_kota","nama_kecamatan","nama_kelurahan","POSITIF","Meninggal","Month","Year","Month_Year","geometry"
25476,"3173031005","MANGGA BESAR",317303,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","MANGGA BESAR",9198,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","MANGGA BESAR",832,14,"Oct","2021","Oct_2021",c(-3626664.21580529, 692955.032839618)
25463,"3173011005","KAPUK",317301,"DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KAPUK",167523,"DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KAPUK",6515,169,"Oct","2021","Oct_2021",c(-3635388.41376386, 692698.72744195)
25464,"3173011006","CENGKARENG TIMUR",317301,"DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG TIMUR",100081,"DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG TIMUR",6009,108,"Oct","2021","Oct_2021",c(-3637655.82598925, 692662.371763791)
25466,"3173021002","TANJUNG DUREN UTARA",317302,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN UTARA",20603,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN UTARA",2021,33,"Oct","2021","Oct_2021",c(-3631009.8448921, 688955.7409577)
25468,"3173021004","JELAMBAR",317302,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR",36680,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR",3358,53,"Oct","2021","Oct_2021",c(-3630812.57867007, 690790.760551461)
25484,"3173041005","KRENDANG",317304,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","KRENDANG",25192,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","KERENDANG",1182,20,"Oct","2021","Oct_2021",c(-3628488.82265994, 692107.030153182)
25492,"3173051002","SUKABUMI UTARA",317305,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","SUKABUMI UTARA",47398,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","SUKABUMI UTARA",2848,45,"Oct","2021","Oct_2021",c(-3631407.18621463, 684157.406294638)
25493,"3173051003","SUKABUMI SELATAN",317305,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","SUKABUMI SELATAN",46386,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","SUKABUMI SELATAN",2147,33,"Oct","2021","Oct_2021",c(-3632043.10610316, 682589.622640359)
25494,"3173051004","KELAPA DUA",317305,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KELAPA DUA",28843,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KELAPA DUA",2199,34,"Oct","2021","Oct_2021",c(-3632593.76612903, 684007.956664201)
25495,"3173051005","DURI KEPA",317305,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","DURI KEPA",72834,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","DURI KEPA",4196,72,"Oct","2021","Oct_2021",c(-3632206.94132238, 688468.614512418)
25496,"3173051006","KEDOYA UTARA",317305,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEDOYA UTARA",55356,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEDOYA UTARA",3118,51,"Oct","2021","Oct_2021",c(-3633936.69316112, 689354.11419208)
25497,"3173051007","KEDOYA SELATAN",317305,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEDOYA SELATAN",39331,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEDOYA SELATAN",2448,52,"Oct","2021","Oct_2021",c(-3633948.8511238, 687565.706798666)
25502,"3173061005","PEGADUNGAN",317306,"DKI JAKARTA","JAKARTA BARAT","KALIDERES","PEGADUNGAN",89881,"DKI JAKARTA","JAKARTA BARAT","KALI DERES","PEGADUNGAN",4450,59,"Oct","2021","Oct_2021",c(-3641859.40866034, 693386.461358568)
